request,intent
مرحبا,greeting
أهلاً,greeting
صباح الخير,greeting
مساء الخير,greeting
صباح الورد,greeting
كيف حالك؟,greeting
هل يمكنك مساعدتي؟,greeting
أحتاج مساعدتك,greeting
ممكن تساعدني؟,greeting
أريد أن أسألك,greeting
أحتاج مساعدتك في شيء,greeting
ممكن مساعدتي؟,greeting
هل يمكنني الحصول على معلومات؟,greeting
هل يمكنك مساعدتي بشيء؟,greeting
هل يمكنني أن أسألك شيئاً؟,greeting
ممكن تقديم المساعدة؟,greeting
ممكن توجيهي؟,greeting
هل يمكنك مساعدتي الآن؟,greeting
هل يمكنك أن تقدم لي المساعدة؟,greeting
هل تستطيع مساعدتي؟,greeting
مرحبًا، هل يمكنني مساعدتك في شيء؟,greeting
مرحبًا، هل تحتاج إلى مساعدة؟,greeting
أهلاً بك، هل يمكنني مساعدتك؟,greeting
مرحبًا، ممكن تساعدني؟,greeting
مرحبًا، هل يمكنني الحصول على معلومات؟,greeting
مرحبًا، هل يمكنك مساعدتي بشيء؟,greeting
مرحبًا، هل يمكنني أن أسألك شيئاً؟,greeting
مرحبًا، هل يمكنك تقديم المساعدة؟,greeting
مرحبًا، هل يمكنك توجهني؟,greeting
مرحبًا، هل يمكنك مساعدتي الآن؟,greeting
مرحبًا، هل يمكنك أن تقدم لي المساعدة؟,greeting
مرحبًا، هل يمكنك مساعدتي؟,greeting
مرحبًا، هل يمكنك توجيهي؟,greeting
أهلًا، ممكن تساعدني؟,greeting
أهلًا، هل يمكنني الحصول على معلومات؟,greeting
أهلًا، هل يمكنك مساعدتي بشيء؟,greeting
أهلًا، هل يمكنني أن أسألك شيئاً؟,greeting
أهلًا، هل يمكنك تقديم المساعدة؟,greeting
أهلًا، هل يمكنك توجهني؟,greeting
أهلًا، هل يمكنك مساعدتي الآن؟,greeting
أهلًا، هل يمكنك أن تقدم لي المساعدة؟,greeting
أهلًا، هل يمكنك مساعدتي؟,greeting
أهلًا، هل يمكنك توجيهي؟,greeting
مساء الخير، هل يمكنني مساعدتك في شيء؟,greeting
مساء الخير، هل تحتاج إلى مساعدة؟,greeting
مساء الخير، ممكن تساعدني؟,greeting
مساء الخير، هل يمكنني الحصول على معلومات؟,greeting
مساء الخير، هل يمكنك مساعدتي بشيء؟,greeting
مساء الخير، هل يمكنني أن أسألك شيئاً؟,greeting
مساء الخير، هل يمكنك تقديم المساعدة؟,greeting
مساء الخير، هل يمكنك توجهني؟,greeting
مساء الخير، هل يمكنك مساعدتي الآن؟,greeting
مساء الخير، هل يمكنك أن تقدم لي المساعدة؟,greeting
مساء الخير، هل يمكنك مساعدتي؟,greeting
مساء الخير، هل يمكنك توجيهي؟,greeting
صباح الورد، هل يمكنني مساعدتك في شيء؟,greeting
صباح الورد، هل تحتاج إلى مساعدة؟,greeting
صباح الورد، ممكن تساعدني؟,greeting
صباح الورد، هل يمكنني الحصول على معلومات؟,greeting
صباح الورد، هل يمكنك مساعدتي بشيء؟,greeting
صباح الورد، هل يمكنني أن أسألك شيئاً؟,greeting
صباح الورد، هل يمكنك تقديم المساعدة؟,greeting
صباح الورد، هل يمكنك توجهني؟,greeting
صباح الورد، هل يمكنك مساعدتي الآن؟,greeting
صباح الورد، هل يمكنك أن تقدم لي المساعدة؟,greeting
صباح الورد، هل يمكنك مساعدتي؟,greeting
صباح الورد، هل يمكنك توجيهي؟,greeting
مساء الخير، ممكن تساعدني؟,greeting
مساء الخير، هل يمكنني الحصول على معلومات؟,greeting
